AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
2020,889,3,ESCUELA BASICA PAUL HARRIS,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.0698452,-71.00546265,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,GRATUITO,GRATUITO
2020,890,7,ESCUELA PARTICULAR LOS SAPOS,,65127039,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,3,2,1,-31.137039000000000,-70.95153800000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,891,5,ESCUELA PARTICULAR RINCON DE LAS CHILCAS,,65127042,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,3,2,1,-31.087040000000000,-70.96758300000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,892,3,ESCUELA PARTICULAR EL DURAZNO,,65127038,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,3,2,1,-31.121071000000000,-70.83200800000000,1,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,893,1,ESCUELA PARTICULAR EL DIVISADERO,4315909,,0,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,3,2,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2020,896,6,ESCUELA PARTICULAR LA COLORADA,,65127041,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,3,2,1,-31.072800000000000,-71.05033100000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,3,,GRATUITO,GRATUITO
2020,897,4,ESCUELA BELGICA,,69040900,1,4,COQ,43,4304,PUNITAQUI,42,LIMARÍ,2,1,0,-30.833639000000000,-71.25631700000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,898,2,ESCUELA BASICA AMANDA LABARCA,,69040900,1,4,COQ,43,4304,PUNITAQUI,42,LIMARÍ,2,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2020,899,0,ESCUELA LUZ DE LUNA,,69040900,1,4,COQ,43,4304,PUNITAQUI,42,LIMARÍ,2,1,1,-30.819811000000000,-71.09355900000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,900,8,ESCUELA BASICA LA HIGUERA DE QUILE,,69040900,1,4,COQ,43,4304,PUNITAQUI,42,LIMARÍ,2,1,1,-31.094259000000000,-71.46408800000000,1,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,901,6,ESCUELA VINA VIEJA,,69040900,1,4,COQ,43,4304,PUNITAQUI,42,LIMARÍ,2,1,1,-30.83972621,-71.21313526,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2020,902,4,ESCUELA BASICA ELENA CAFFARENA,,69040700,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,2,1,1,-30.842051000000000,-71.51013900000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,904,0,ESCUELA CAMPO LINDO,,69040700,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,2,1,1,-30.727690000000000,-71.35621600000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,905,9,ESCUELA CHALINGA,,69040700,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,2,1,1,-30.751520000000000,-71.40181699999999,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,906,7,ESCUELA LOS CANELOS,,69040700,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,2,1,1,-30.867960000000000,-71.46629299999999,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,907,5,ESCUELA HIJOS DEL PERAL,,69040900,1,4,COQ,43,4304,PUNITAQUI,42,LIMARÍ,2,1,1,-30.897840000000000,-71.31321000000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,908,3,ESCUELA TABALI,,69040700,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,2,1,1,-30.639420000000000,-71.42661300000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,909,1,ESCUELA LOS AZAHARES DE CERRO BLANCO,,69040700,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,2,1,1,-30.879551000000000,-71.39846799999999,0,110,0,0,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2020,910,5,ESC.BASICA SAN ANTONIO DE LA VILLA,,69040700,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,2,1,1,-30.657480000000000,-71.48516100000001,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,911,3,ESCUELA LOS TRIGOS,,69040700,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,2,1,1,-30.867170000000000,-71.42302700000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,912,1,ESCUELA CAMARICO VIEJO,,69040700,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,2,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,,SIN INFORMACION,SIN INFORMACION
2020,914,8,ESCUELA PENA BLANCA,,69040700,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,2,1,1,-30.901939000000000,-71.55451200000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,915,6,ESCUELA MARCOS RIGOBERTO PIZARRO ARAYA,,69040700,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,2,1,1,-30.645380000000000,-71.34261300000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
